order_month,quantity
2011-01-01,167
2011-02-01,92
2011-03-01,178
2011-04-01,195
2011-05-01,198
2011-06-01,264
2011-07-01,185
2011-08-01,262
2011-09-01,421
2011-10-01,324
2011-11-01,359
2011-12-01,398
2012-01-01,207
2012-02-01,128
2012-03-01,248
2012-04-01,249
2012-05-01,232
2012-06-01,351
2012-07-01,261
2012-08-01,435
2012-09-01,342
2012-10-01,286
2012-11-01,435
2012-12-01,397
2013-01-01,267
2013-02-01,222
2013-03-01,242
2013-04-01,275
2013-05-01,334
2013-06-01,430
2013-07-01,345
2013-08-01,403
2013-09-01,539
2013-10-01,300
2013-11-01,608
2013-12-01,609
2014-01-01,325
2014-02-01,260
2014-03-01,355
2014-04-01,331
2014-05-01,410
2014-06-01,589
2014-07-01,325
2014-08-01,567
2014-09-01,629
2014-10-01,512
2014-11-01,801
2014-12-01,625
